time,ax (m/s^2),ay (m/s^2),az (m/s^2),aT (m/s^2)
0.006494,0.0012,-0.0004,-0.0486,0.049
0.007284,-0.0038,0.0002,-0.0390,0.039
0.024191,-0.0039,-0.0046,-0.0486,0.049
0.040632,0.0057,0.0002,-0.0438,0.044
0.057899,0.0057,0.0002,-0.0486,0.049
0.074240,-0.0038,0.0002,-0.0438,0.044
0.091991,0.0011,0.0002,-0.0390,0.039
0.107556,0.0011,0.0002,-0.0438,0.044
0.124908,0.0011,0.0002,-0.0486,0.049
0.141200,-0.0036,0.0002,-0.0438,0.044
0.158023,0.0012,-0.0047,-0.0438,0.044
0.174496,-0.0037,-0.0047,-0.0486,0.049
0.190772,0.0011,0.0001,-0.0486,0.049
0.207773,0.0011,0.0001,-0.0486,0.049
0.224408,0.0011,-0.0006,-0.0486,0.049
0.241127,0.0011,-0.0048,-0.0390,0.039
0.257929,0.0011,-0.0101,-0.0486,0.050
0.274870,0.0010,0.0001,-0.0438,0.044
0.291791,-0.0038,-0.0096,-0.0438,0.045
0.308573,0.0010,0.0001,-0.0438,0.044
0.325181,0.0009,-0.0046,-0.0438,0.044
0.342344,0.0009,0.0043,-0.0486,0.049
0.358810,-0.0039,-0.0046,-0.0486,0.049
0.375327,0.0009,-0.0045,-0.0438,0.044
0.392193,0.0008,-0.0046,-0.0486,0.049
0.409030,-0.0039,0.0001,-0.0486,0.049
0.425582,0.0015,-0.0001,-0.0438,0.044
0.442589,-0.0034,-0.0049,-0.0390,0.039
0.458863,-0.0034,-0.0048,-0.0390,0.039
0.476386,0.0015,-0.0001,-0.0438,0.044
0.492446,0.0008,-0.0049,-0.0438,0.044
0.512082,-0.0039,-0.0050,-0.0438,0.044
0.525847,-0.0039,-0.0050,-0.0438,0.044
0.543183,0.0009,-0.0008,-0.0486,0.049
0.559474,0.0014,-0.0051,-0.0438,0.044
0.576763,0.0015,-0.0051,-0.0438,0.044
0.592717,0.0057,-0.0052,-0.0486,0.049
0.609554,0.0010,0.0042,-0.0486,0.049
0.626430,-0.0038,-0.0006,-0.0486,0.049
0.643102,-0.0038,-0.0005,-0.0534,0.054
0.660021,0.0011,-0.0005,-0.0390,0.039
0.676144,0.0011,-0.0053,-0.0438,0.044
0.693073,-0.0036,-0.0005,-0.0438,0.044
0.710018,0.0011,-0.0005,-0.0390,0.039
0.726631,0.0011,-0.0053,-0.0486,0.049
0.743299,-0.0037,-0.0005,-0.0438,0.044
0.761347,-0.0038,-0.0052,-0.0486,0.049
0.776844,-0.0037,-0.0004,-0.0438,0.044
0.793753,0.0011,-0.0051,-0.0438,0.044
0.810478,-0.0036,-0.0003,-0.0438,0.044
0.827080,0.0018,-0.0050,-0.0438,0.044
0.843817,0.0018,-0.0050,-0.0390,0.039
0.862460,0.0019,-0.0050,-0.0342,0.035
0.877689,0.0019,-0.0002,-0.0486,0.049
0.894428,0.0061,-0.0056,-0.0486,0.049
0.910839,0.0013,-0.0056,-0.0438,0.044
0.927700,0.0013,-0.0057,-0.0438,0.044
0.944378,0.0013,-0.0010,-0.0486,0.049
0.961294,0.0061,-0.0004,-0.0438,0.044
0.979267,0.0014,-0.0003,-0.0486,0.049
0.994379,0.0014,-0.0003,-0.0390,0.039
1.011351,0.0014,-0.0050,-0.0438,0.044
1.028572,0.0021,-0.0098,-0.0486,0.050
1.044397,0.0069,-0.0003,-0.0438,0.044
1.062087,0.0020,-0.0003,-0.0390,0.039
1.078476,0.0021,-0.0004,-0.0438,0.044
1.095276,0.0014,-0.0003,-0.0438,0.044
1.111579,0.0014,-0.0003,-0.0486,0.049
1.128518,-0.0034,-0.0056,-0.0486,0.049
1.145104,0.0014,-0.0002,-0.0438,0.044
1.161994,-0.0032,-0.0051,-0.0438,0.044
1.178192,0.0014,-0.0051,-0.0390,0.039
1.195282,0.0014,-0.0003,-0.0438,0.044
1.211698,0.0014,-0.0051,-0.0390,0.039
1.228650,0.0015,-0.0051,-0.0438,0.044
1.245601,0.0015,-0.0004,-0.0486,0.049
1.265720,-0.0034,-0.0053,-0.0438,0.044
1.279081,0.0014,0.0043,-0.0390,0.039
1.295559,-0.0028,-0.0053,-0.0438,0.044
1.312378,0.0015,-0.0005,-0.0486,0.049
1.329410,0.0015,-0.0005,-0.0486,0.049
1.346473,0.0016,-0.0005,-0.0438,0.044
1.363154,0.0017,-0.0006,-0.0486,0.049
1.379326,-0.0031,-0.0006,-0.0438,0.044
1.397536,-0.0029,-0.0005,-0.0438,0.044
1.413053,0.0020,-0.0006,-0.0486,0.049
1.429636,0.0020,-0.0005,-0.0390,0.039
1.446933,0.0020,-0.0006,-0.0390,0.039
1.462890,-0.0028,-0.0005,-0.0438,0.044
1.480283,0.0019,-0.0005,-0.0486,0.049
1.496307,0.0018,0.0041,-0.0486,0.049
1.513510,-0.0030,-0.0008,-0.0390,0.039
1.529957,-0.0030,-0.0103,-0.0438,0.045
1.546952,0.0017,-0.0007,-0.0390,0.039
1.563711,0.0064,0.0042,-0.0438,0.044
1.580124,0.0023,-0.0054,-0.0438,0.044
1.597434,0.0023,-0.0054,-0.0438,0.044
1.613707,-0.0024,-0.0006,-0.0390,0.039
1.630485,-0.0031,-0.0006,-0.0438,0.044
1.647992,-0.0077,-0.0054,-0.0486,0.049
1.667129,-0.0030,-0.0054,-0.0438,0.044
1.680361,0.0017,-0.0006,-0.0438,0.044
1.697036,-0.0024,-0.0007,-0.0438,0.044
1.713529,0.0017,0.0041,-0.0438,0.044
1.730198,-0.0025,-0.0007,-0.0438,0.044
1.746825,-0.0027,0.0041,-0.0390,0.039
1.766350,0.0015,-0.0007,-0.0390,0.039
1.780751,0.0062,-0.0056,-0.0438,0.045
1.797599,-0.0034,-0.0008,-0.0438,0.044
1.814697,0.0014,-0.0055,-0.0390,0.039
1.831190,0.0015,-0.0006,-0.0486,0.049
1.847818,0.0016,0.0042,-0.0390,0.039
1.865942,-0.0032,-0.0006,-0.0486,0.049
1.881512,-0.0032,-0.0053,-0.0438,0.044
1.899033,0.0016,-0.0101,-0.0390,0.040
1.914750,0.0016,0.0043,-0.0438,0.044
1.931903,-0.0032,-0.0099,-0.0438,0.045
1.948454,0.0065,-0.0052,-0.0390,0.040
1.965106,-0.0031,-0.0052,-0.0438,0.044
1.981585,0.0017,-0.0010,-0.0486,0.049
1.998877,0.0016,-0.0106,-0.0486,0.050
2.015327,-0.0032,-0.0009,-0.0486,0.049
2.032429,-0.0031,-0.0009,-0.0438,0.044
2.049329,0.0018,-0.0009,-0.0486,0.049
